[0.097s] Invoking command in '/home/ines/tiago_ws/build/pmb2_maps': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ines/tiago_ws/install/tiago_autonomous_navigation:/home/ines/tiago_ws/install/tiago_autonomous_exploration:/home/ines/ros2_ws/install/scripts:/home/ines/ros2_ws/install/acrobat:/opt/ros/humble /usr/bin/cmake --build /home/ines/tiago_ws/build/pmb2_maps -- -j8 -l8
[0.834s] Invoked command in '/home/ines/tiago_ws/build/pmb2_maps' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ines/tiago_ws/install/tiago_autonomous_navigation:/home/ines/tiago_ws/install/tiago_autonomous_exploration:/home/ines/ros2_ws/install/scripts:/home/ines/ros2_ws/install/acrobat:/opt/ros/humble /usr/bin/cmake --build /home/ines/tiago_ws/build/pmb2_maps -- -j8 -l8
[0.913s] Invoking command in '/home/ines/tiago_ws/build/pmb2_maps': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ines/tiago_ws/install/tiago_autonomous_navigation:/home/ines/tiago_ws/install/tiago_autonomous_exploration:/home/ines/ros2_ws/install/scripts:/home/ines/ros2_ws/install/acrobat:/opt/ros/humble /usr/bin/cmake --install /home/ines/tiago_ws/build/pmb2_maps
[0.941s] -- Install configuration: ""
[0.941s] -- Execute custom install script
[0.941s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/config/map.pgm
[0.942s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/config/map.yaml
[0.942s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/config/mmap.yaml
[0.942s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/configurations/pal_office/map.pgm
[0.942s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/configurations/pal_office/map.yaml
[0.943s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/configurations/pal_office/mmap.yaml
[0.944s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/configurations/small_office/map.bmp
[0.947s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/configurations/small_office/map.bt
[0.953s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/configurations/small_office/map.ot
[0.954s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/configurations/small_office/map.pgm
[0.961s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/configurations/small_office/map.yaml
[0.961s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/configurations/small_office/mmap.yaml
[0.961s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/configurations/small_office/transformation.yaml
[0.961s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/ament_index/resource_index/package_run_dependencies/pmb2_maps
[0.962s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/ament_index/resource_index/parent_prefix_path/pmb2_maps
[0.962s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/environment/ament_prefix_path.sh
[0.962s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/environment/ament_prefix_path.dsv
[0.963s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/environment/path.sh
[0.973s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/environment/path.dsv
[0.973s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/local_setup.bash
[0.973s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/local_setup.sh
[0.973s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/local_setup.zsh
[0.974s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/local_setup.dsv
[0.974s] -- Symlinking: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/package.dsv
[0.990s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/ament_index/resource_index/packages/pmb2_maps
[0.991s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/cmake/pmb2_mapsConfig.cmake
[0.991s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/cmake/pmb2_mapsConfig-version.cmake
[0.991s] -- Up-to-date symlink: /home/ines/tiago_ws/install/pmb2_maps/share/pmb2_maps/package.xml
[0.999s] Invoked command in '/home/ines/tiago_ws/build/pmb2_maps' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ines/tiago_ws/install/tiago_autonomous_navigation:/home/ines/tiago_ws/install/tiago_autonomous_exploration:/home/ines/ros2_ws/install/scripts:/home/ines/ros2_ws/install/acrobat:/opt/ros/humble /usr/bin/cmake --install /home/ines/tiago_ws/build/pmb2_maps
